0.755   0.937   -3.009   0.049
0.755   0.937   -2.992   0.048
0.755   0.937   -2.976   0.053
0.755   0.937   -2.959   0.064
0.755   0.937   -2.943   0.079
0.755   0.937   -2.927   0.091
0.755   0.937   -2.910   0.097
0.755   0.937   -2.894   0.095
0.755   0.937   -2.877   0.087
0.755   0.937   -2.861   0.077
0.755   0.937   -2.844   0.068
0.755   0.937   -2.828   0.063
0.755   0.937   -2.811   0.064
0.755   0.937   -2.795   0.069
0.755   0.937   -2.779   0.077
0.755   0.937   -2.762   0.085
0.755   0.937   -2.746   0.090
0.755   0.937   -2.729   0.094
0.755   0.937   -2.713   0.098
0.755   0.937   -2.696   0.103
0.755   0.937   -2.680   0.110
0.755   0.937   -2.663   0.120
0.755   0.937   -2.647   0.132
0.755   0.937   -2.630   0.138
0.755   0.937   -2.614   0.135
0.755   0.937   -2.598   0.125
0.755   0.937   -2.581   0.112
0.755   0.937   -2.565   0.102
0.755   0.937   -2.548   0.102
0.755   0.937   -2.532   0.111
0.755   0.937   -2.515   0.127
0.755   0.937   -2.499   0.141
0.755   0.937   -2.482   0.147
0.755   0.937   -2.466   0.142
0.755   0.937   -2.450   0.133
0.755   0.937   -2.433   0.128
0.755   0.937   -2.417   0.132
0.755   0.937   -2.400   0.146
0.755   0.937   -2.384   0.163
0.755   0.937   -2.367   0.174
0.755   0.937   -2.351   0.174
0.755   0.937   -2.334   0.162
0.755   0.937   -2.318   0.144
0.755   0.937   -2.302   0.126
0.755   0.937   -2.285   0.114
0.755   0.937   -2.269   0.106
0.755   0.937   -2.252   0.104
0.755   0.937   -2.236   0.103
0.755   0.937   -2.219   0.103
0.755   0.937   -2.203   0.104
0.755   0.937   -2.186   0.107
0.755   0.937   -2.170   0.116
0.755   0.937   -2.154   0.127
0.755   0.937   -2.137   0.138
0.755   0.937   -2.121   0.141
0.755   0.937   -2.104   0.132
0.755   0.937   -2.088   0.114
0.755   0.937   -2.071   0.093
0.755   0.937   -2.055   0.075
0.755   0.937   -2.038   0.061
0.755   0.937   -2.022   0.052
0.755   0.937   -2.006   0.046
0.755   0.937   -1.989   0.042
0.755   0.937   -1.973   0.041
0.755   0.937   -1.956   0.043
0.755   0.937   -1.940   0.046
0.755   0.937   -1.923   0.053
0.755   0.937   -1.907   0.063
0.755   0.937   -1.890   0.077
0.755   0.937   -1.874   0.093
0.755   0.937   -1.858   0.106
0.755   0.937   -1.841   0.112
0.755   0.937   -1.825   0.109
0.755   0.937   -1.808   0.098
0.755   0.937   -1.792   0.083
0.755   0.937   -1.775   0.068
0.755   0.937   -1.759   0.057
0.755   0.937   -1.742   0.050
0.755   0.937   -1.726   0.050
0.755   0.937   -1.710   0.055
0.755   0.937   -1.693   0.062
0.755   0.937   -1.677   0.068
0.755   0.937   -1.660   0.073
0.755   0.937   -1.644   0.078
0.755   0.937   -1.627   0.082
0.755   0.937   -1.611   0.084
0.755   0.937   -1.594   0.081
0.755   0.937   -1.578   0.074
0.755   0.937   -1.561   0.065
0.755   0.937   -1.545   0.058
0.755   0.937   -1.529   0.054
0.755   0.937   -1.512   0.053
0.755   0.937   -1.496   0.054
0.755   0.937   -1.479   0.054
0.755   0.937   -1.463   0.052
0.755   0.937   -1.446   0.046
0.755   0.937   -1.430   0.040
0.755   0.937   -1.413   0.034
0.755   0.937   -1.397   0.031
0.755   0.937   -1.381   0.029
0.755   0.937   -1.364   0.028
0.755   0.937   -1.348   0.027
0.755   0.937   -1.331   0.026
0.755   0.937   -1.315   0.026
0.755   0.937   -1.298   0.029
0.755   0.937   -1.282   0.031
0.755   0.937   -1.265   0.033
0.755   0.937   -1.249   0.034
0.755   0.937   -1.233   0.034
0.755   0.937   -1.216   0.034
0.755   0.937   -1.200   0.034
0.755   0.937   -1.183   0.032
0.755   0.937   -1.167   0.028
0.755   0.937   -1.150   0.024
0.755   0.937   -1.134   0.020
0.755   0.937   -1.117   0.018
0.755   0.937   -1.101   0.018
0.755   0.937   -1.085   0.019
0.755   0.937   -1.068   0.024
0.755   0.937   -1.052   0.033
0.755   0.937   -1.035   0.047
0.755   0.937   -1.019   0.061
0.755   0.937   -1.002   0.069
0.755   0.937   -0.986   0.067
0.755   0.937   -0.969   0.054
0.755   0.937   -0.953   0.037
0.755   0.937   -0.937   0.023
0.755   0.937   -0.920   0.015
0.755   0.937   -0.904   0.014
0.755   0.937   -0.887   0.019
0.755   0.937   -0.871   0.027
0.755   0.937   -0.854   0.034
0.755   0.937   -0.838   0.037
0.755   0.937   -0.821   0.037
0.755   0.937   -0.805   0.035
0.755   0.937   -0.789   0.035
0.755   0.937   -0.772   0.035
0.755   0.937   -0.756   0.034
0.755   0.937   -0.739   0.030
0.755   0.937   -0.723   0.026
0.755   0.937   -0.706   0.024
0.755   0.937   -0.690   0.024
0.755   0.937   -0.673   0.023
0.755   0.937   -0.657   0.020
0.755   0.937   -0.641   0.015
0.755   0.937   -0.624   0.011
0.755   0.937   -0.608   0.010
0.755   0.937   -0.591   0.011
0.755   0.937   -0.575   0.015
0.755   0.937   -0.558   0.019
0.755   0.937   -0.542   0.022
0.755   0.937   -0.525   0.023
0.755   0.937   -0.509   0.022
0.755   0.937   -0.492   0.020
0.755   0.937   -0.476   0.017
0.755   0.937   -0.460   0.013
0.755   0.937   -0.443   0.011
0.755   0.937   -0.427   0.009
0.755   0.937   -0.410   0.009
0.755   0.937   -0.394   0.010
0.755   0.937   -0.377   0.010
0.755   0.937   -0.361   0.009
0.755   0.937   -0.344   0.007
0.755   0.937   -0.328   0.005
0.755   0.937   -0.312   0.004
0.755   0.937   -0.295   0.003
0.755   0.937   -0.279   0.003
0.755   0.937   -0.262   0.003
0.755   0.937   -0.246   0.004
0.755   0.937   -0.229   0.004
0.755   0.937   -0.213   0.003
0.755   0.937   -0.196   0.003
0.755   0.937   -0.180   0.003
0.755   0.937   -0.164   0.004
0.755   0.937   -0.147   0.005
0.755   0.937   -0.131   0.007
0.755   0.937   -0.114   0.008
0.755   0.937   -0.098   0.008
0.755   0.937   -0.081   0.007
0.755   0.937   -0.065   0.006
0.755   0.937   -0.048   0.004
0.755   0.937   -0.032   0.002
0.755   0.937   -0.016   0.002
0.755   0.937   0.001   0.002
0.755   0.937   0.017   0.003
0.755   0.937   0.034   0.006
0.755   0.937   0.050   0.010
0.755   0.937   0.067   0.015
0.755   0.937   0.083   0.019
0.755   0.937   0.100   0.021
0.755   0.937   0.116   0.020
0.755   0.937   0.132   0.016
0.755   0.937   0.149   0.011
0.755   0.937   0.165   0.008
0.755   0.937   0.182   0.006
0.755   0.937   0.198   0.005
0.755   0.937   0.215   0.006
0.755   0.937   0.231   0.006
0.755   0.937   0.248   0.008
0.755   0.937   0.264   0.009
0.755   0.937   0.280   0.010
0.755   0.937   0.297   0.011
0.755   0.937   0.313   0.011
0.755   0.937   0.330   0.010
0.755   0.937   0.346   0.008
0.755   0.937   0.363   0.006
0.755   0.937   0.379   0.003
0.755   0.937   0.396   0.002
0.755   0.937   0.412   0.001
0.755   0.937   0.428   0.001
0.755   0.937   0.445   0.002
0.755   0.937   0.461   0.004
0.755   0.937   0.478   0.004
0.755   0.937   0.494   0.004
0.755   0.937   0.511   0.003
0.755   0.937   0.527   0.002
0.755   0.937   0.544   0.002
0.755   0.937   0.560   0.002
0.755   0.937   0.577   0.003
0.755   0.937   0.593   0.006
0.755   0.937   0.609   0.009
0.755   0.937   0.626   0.014
0.755   0.937   0.642   0.019
0.755   0.937   0.659   0.022
